<MULTILINE COMMNET, 9, /*This test file is written by:
Name: Sagnik Roy
Roll No: 18CS10063*/>
<PUNCTUATOR, 7, #>
<IDENTIFIER, 2, include>
<PUNCTUATOR, 7, <>
<IDENTIFIER, 2, stdio>
<PUNCTUATOR, 7, .>
<IDENTIFIER, 2, h>
<PUNCTUATOR, 7, >>
<PUNCTUATOR, 7, #>
<IDENTIFIER, 2, define>
<IDENTIFIER, 2, X>
<INTEGER_CONSTANT, 3, 3>
<KEYWORD, 1, typedef>
<KEYWORD, 1, struct>
<PUNCTUATOR, 7, {>
<KEYWORD, 1, int>
<IDENTIFIER, 2, x>
<PUNCTUATOR, 7, ;>
<PUNCTUATOR, 7, }>
<IDENTIFIER, 2, New>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, union>
<IDENTIFIER, 2, Data>
<PUNCTUATOR, 7, {>
<KEYWORD, 1, int>
<IDENTIFIER, 2, p>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, char>
<IDENTIFIER, 2, str>
<PUNCTUATOR, 7, [>
<INTEGER_CONSTANT, 3, 20>
<PUNCTUATOR, 7, ]>
<PUNCTUATOR, 7, ;>
<PUNCTUATOR, 7, }>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, int>
<IDENTIFIER, 2, main>
<PUNCTUATOR, 7, (>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, {>
<KEYWORD, 1, static>
<KEYWORD, 1, int>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, =>
<INTEGER_CONSTANT, 3, 24059>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, switch>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, {>
<KEYWORD, 1, case>
<INTEGER_CONSTANT, 3, 1>
<PUNCTUATOR, 7, :>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, ++>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, break>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, default>
<PUNCTUATOR, 7, :>
<KEYWORD, 1, break>
<PUNCTUATOR, 7, ;>
<PUNCTUATOR, 7, }>
<KEYWORD, 1, long>
<KEYWORD, 1, long>
<KEYWORD, 1, int>
<IDENTIFIER, 2, d>
<PUNCTUATOR, 7, =>
<INTEGER_CONSTANT, 3, 000>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, short>
<IDENTIFIER, 2, p>
<PUNCTUATOR, 7, =>
<INTEGER_CONSTANT, 3, 32>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, char>
<IDENTIFIER, 2, myChar_123>
<PUNCTUATOR, 7, =>
<CHARACTER_CONSTANT, 5, 'G'>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, float>
<IDENTIFIER, 2, f>
<PUNCTUATOR, 7, =>
<FLOATING_CONSTANT, 4, 25.364>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, double>
<IDENTIFIER, 2, d>
<PUNCTUATOR, 7, =>
<FLOATING_CONSTANT, 4, 256.32E-2>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, int>
<IDENTIFIER, 2, i>
<PUNCTUATOR, 7, =>
<INTEGER_CONSTANT, 3, 35>
<PUNCTUATOR, 7, ;>
<KEYWORD, 1, do>
<PUNCTUATOR, 7, {>
<IDENTIFIER, 2, i>
<PUNCTUATOR, 7, ++>
<PUNCTUATOR, 7, ;>
<PUNCTUATOR, 7, }>
<KEYWORD, 1, while>
<PUNCTUATOR, 7, (>
<IDENTIFIER, 2, i>
<PUNCTUATOR, 7, <>
<INTEGER_CONSTANT, 3, 40>
<PUNCTUATOR, 7, )>
<PUNCTUATOR, 7, ;>
<SINGLE_LINE_COMMENT, 8, //"This is a test file Checking comments">
<IDENTIFIER, 2, d>
<PUNCTUATOR, 7, =>
<IDENTIFIER, 2, d>
<PUNCTUATOR, 7, +>
<FLOATING_CONSTANT, 4, 2.0>
<PUNCTUATOR, 7, ;>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, =>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, *>
<INTEGER_CONSTANT, 3, 2>
<PUNCTUATOR, 7, ;>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, =>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, <<>
<INTEGER_CONSTANT, 3, 1>
<PUNCTUATOR, 7, ;>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, =>
<IDENTIFIER, 2, a>
<PUNCTUATOR, 7, >>>
<INTEGER_CONSTANT, 3, 1>
<PUNCTUATOR, 7, ;>
<IDENTIFIER, 2, i>
<PUNCTUATOR, 7, =>
